time_points	1	2	3	4	5	6	7	8	9	10	11	12	13	14
CASP9	2.40207125	2.62216625	1.92940775	1.6339225	1.4887785	1.936746125	1.9376575	2.19230125	1.723069625	1.691398125	1.141637	1.9094995	1.95504	1.98339875
THAP7	4.3298575	3.356535	3.41965	2.979675	1.76784625	2.32466375	2.62418	4.0014775	3.59815625	1.98854625	2.2536575	2.00526	3.4443825	4.28145875
ZFPL1	3.49922625	2.71419	2.6949675	1.9155225	2.4253425	2.77455625	3.01732	2.63797375	2.86778	2.5216075	2.76271875	1.58666675	2.89118875	3.69454875
DIP2A	0.92816525	0.711573625	0.670796	0.850417	0.525176	0.69507625	0.9905255	0.91410925	0.817431625	0.716759125	0.639544125	0.743881125	0.7845375	0.90962575
CTB-5E10.3	4.36877125	3.865846875	3.3629225	2.652727875	2.2414175	3.33389	3.932495125	4.17901125	2.43601375	3.49125625	2.6810625	3.64257125	3.3323	3.536285
ZNF761	0.762806125	0.645025125	0.50419375	0.513800188	0.523406625	0.677085875	0.644886313	0.61268675	0.463577125	0.560530375	0.393144313	0.631012875	0.614874125	0.63620425
TREX1	1.797315	1.13680475	1.10635175	0.993499125	0.8806465	1.14732575	1.3236685	1.86070775	1.123884375	1.022648	0.824418	0.989435313	1.154452625	1.19013675
ALPP	0.748849375	0.64301025	0.537171125	0.5866985	0.508751	0.587646375	0.610270875	0.490941125	0.371611375	0.562429625	0.38096575	0.749431125	0.894717375	0.763548125
BAI2	1.253089875	1.1293605	1.039525375	0.705608875	0.634021875	0.904610875	0.8435275	1.220973875	0.919055625	1.0449185	0.74121975	1.0677635	0.85086925	1.275975125
SLC6A6	3.230546688	3.064633375	2.42023375	2.36893875	2.62638625	3.06391625	3.00579125	2.3849275	1.77956	2.131803125	2.48404625	2.30489125	3.39646	3.43444625
SYNM	0.973957875	0.648627	0.71236575	0.48264625	0.472716125	0.51828	0.734947	0.855022125	0.7936165	0.575746	0.640407	0.627741125	0.810671	0.837959125
RAVER2	0.616414625	0.660308875	0.785272625	0.580241375	0.62439175	0.755123375	0.78036	0.715099625	0.6983895	0.504509875	0.468948375	0.7384615	0.7417425	0.956862125
CRABP2	11.21959375	6.73705125	9.6116875	8.20216375	9.8997	10.3666575	13.1653425	12.78535	11.15870875	12.030525	9.49624125	11.079245	13.3033125	11.5271125
TYMS	10.9107475	8.2660275	7.80598125	5.71311625	6.43394	6.72928	8.56293625	10.70067625	11.05542375	9.1241675	7.7189	8.761745	9.30230125	11.8711475
MCPH1	3.004809625	2.370347625	2.46443375	2.097028	2.446893875	2.2934975	2.64718625	2.65863725	3.04349125	1.9698025	1.642150625	2.716345	2.350876375	3.12239625
RP11-333E13.2	6.01465375	6.2019775	5.79328125	4.392765	5.17190125	6.0627875	6.680846875	7.29890625	4.058495	5.309795	5.42920625	5.5486175	5.29808375	6.75885625
FAM86B1	1.208173125	1.374286375	1.19063025	1.356632	0.536667225	1.147837625	1.1879815	1.56898	1.061033	0.76155075	0.762176625	1.00211575	1.008209375	1.47397075
TRIM62	1.186535375	1.566028875	0.864962125	0.763578875	0.664250875	1.336668125	1.400743188	1.46481825	1.030544625	1.0214305	0.998588375	1.3434345	1.279519	1.212086
AC069513.3	2.79830625	2.3072075	2.2190675	1.540295625	1.88441425	2.0621575	2.192008125	2.65715375	1.98112375	2.33187125	2.00555375	1.870714125	2.4224025	2.5280875
NME4	8.42405	7.4338775	8.2041825	6.1814525	7.22793875	9.90416875	8.991175	10.2326275	8.78291625	7.93224125	7.9445425	5.19023875	10.35453625	10.9647575
RP11-330L19.1	8.02431875	8.1451125	6.9806175	5.18333375	6.54023875	6.8668625	8.032535	9.11895625	7.53673875	5.87313375	8.282335	6.979305	8.05799125	6.9012275
C8orf22	2.04041	1.6788255	1.72093	1.083400875	1.340298375	1.572559688	1.804821	1.705127125	1.832579625	1.7255295	0.983045125	2.31884125	1.42676125	2.457785
UNG	5.28959	6.27927	4.47753	2.55713875	4.6765825	6.05850125	7.30908375	10.30918625	5.99313125	4.16559125	3.9074925	3.876035	8.505385	12.1824275
E2F1	1.18297075	0.860687375	0.490801625	0.487123625	0.586217	1.046615375	1.5579575	2.3138775	1.061348	0.69161275	0.619645125	0.883998125	1.62331875	1.95917125
CCNE2	2.92204	2.21774975	0.977349125	0.863110513	1.35035175	1.768570875	4.7085225	5.6260475	1.8611115	1.486437438	1.111763375	1.730401688	2.34904	3.75237875
DTL	2.66676875	2.1366625	1.6164875	1.608728	2.41926375	2.86618375	4.443285	4.58481875	2.78759375	1.90804625	1.49700875	1.627198	3.419415	3.54085
CDC6	8.73672	5.6349575	4.981835	3.87308875	6.0399975	7.1708875	10.6560575	10.07759125	7.04296125	4.43352625	5.81764125	5.39313625	6.18173375	8.484055
CHAF1A	6.61060125	5.12059375	4.21382	3.42127875	4.59668	4.40939875	6.39265	7.2980875	5.85923625	3.8070675	4.0732025	4.95535125	6.17487625	6.28225625
POLD3	3.405305	2.4261325	2.022445	1.82333125	1.9277075	1.414696	3.173155	2.80863375	2.44219375	2.591815	2.09499375	1.9329265	2.53803	3.507525
CCNE1	2.71342	1.7374835	1.3145575	1.280153375	1.437663	2.043985	3.95213875	3.6884575	2.07778375	1.359485625	1.216758125	1.58051925	2.51545875	2.79706125
SLBP	5.7363925	4.24169875	4.01778875	3.99444375	6.56593	6.45826625	8.5013175	7.66432375	5.82294875	3.15180125	4.80287125	5.29868375	6.5231775	8.27931625
PCNA	4.0187775	2.69160375	1.91565375	1.9797225	2.66322375	2.93225625	4.97921625	6.0338725	4.90642375	2.84954125	3.53287375	3.31139125	3.96894125	6.33969
MCM6	2.52808375	1.7307025	1.76904375	2.26736125	2.90442	2.860225	3.63933125	4.43284375	3.796935	2.8193225	2.7395075	2.868725	3.58238	4.47022375
GOLGA2B	0.656956625	0.6873655	0.56572925	0.475983375	0.30038375	0.30038375	0.63474575	0.63474575	0.695304625	0.734059875	0.491974	0.479378	0.32297475	0.68940375
SPIN4	0.453797625	0.445793875	0.33929725	0.285493625	0.185327588	0.246636463	0.326697375	0.412016	0.491469	0.293408125	0.275383625	0.3262665	0.25709675	0.449408
CTD-2228K2.7	1.28243625	1.389675	0.905912875	0.55694775	0.416040875	0.420570625	0.8028385	1.0245165	0.852633875	0.861483375	0.641336	0.4979595	0.761016375	0.63782375
CEP97	0.540704525	0.562524125	0.43430325	0.40968475	0.26693315	0.287382038	0.3991325	0.38440655	0.64097425	0.563907625	0.309153713	0.336728981	0.36430425	0.460257475
PDCL	2.67949	3.00145	2.82374125	2.04730125	1.44927775	1.91739725	2.249666625	2.98713875	2.9908975	2.35356	2.597335	2.13524125	2.35753	2.21448125
SPC24	6.35781875	5.0550575	4.3735475	4.53971875	2.73725375	3.08177	3.1842425	4.86611	5.83438375	5.589725	4.66299375	4.040375	3.353875	3.9131825
TCF19	1.7428275	1.331821875	0.90677675	0.80017275	0.593896375	0.72830775	1.062673125	1.8294175	1.52348	1.15806075	0.90773	0.881286	0.943912875	1.40914375
41525	1.67729125	1.678831	1.40996725	1.290152125	0.834389625	0.839343875	1.27006675	1.374199875	1.340357	1.19285225	1.135164188	1.077476125	0.944907125	1.200879875
TMTC2	0.65042225	0.494790875	0.4216945	0.235278875	0.192069125	0.35183	0.267909625	0.506076125	0.477194875	0.355218875	0.303390375	0.303564375	0.35281975	0.4852865
PEX11B	0.8089225	0.6205235	0.54850075	0.4666845	0.259971288	0.38404025	0.56073675	0.650704375	0.575222875	0.634712625	0.56925125	0.668123875	0.47932575	0.538809625
UBR7	3.9888325	3.39602625	2.8200225	2.57319575	2.2751025	2.150812125	3.73892875	3.83352625	4.49457625	3.577155	2.5784225	2.73325375	2.0206675	3.18851
MOV10	6.2513475	6.44902625	4.4991325	4.2648675	3.08303875	4.00533125	4.11134375	5.51905875	6.1141375	4.0292475	3.6860275	3.944685	4.2393125	5.140895
TMEM14D	4.902633625	3.47130375	4.51379125	3.472485	2.43117875	2.97464125	3.4938125	4.85878125	4.197135375	3.34028875	3.693978125	4.0476675	2.42926375	4.08996375
PCIF1	1.184773875	1.15747975	0.9535475	0.77377625	0.70637025	0.816675125	0.902267875	0.97403225	1.031698	1.01865525	0.879052625	0.58307075	0.997365	1.03983425
PPP1R3C	0.31794875	0.25507415	0.176637875	0.127729388	0.119118288	0.185956625	0.264537413	0.217726625	0.321274875	0.288597244	0.255919613	0.167977138	0.218029625	0.243328938
STRADA	2.092774375	1.79501125	1.343819375	1.389541	1.015267375	0.82730575	1.164901625	1.508221875	1.50587375	1.441632625	1.168511888	0.89539115	0.943137375	1.198806
EFNB1	0.29781075	0.290430775	0.29608425	0.208464938	0.214516988	0.1779164	0.194054875	0.278820125	0.273308	0.214101238	0.20904645	0.125224238	0.204477125	0.241557825
ARMCX5	1.276914125	1.4975325	1.421436	0.714064375	0.97699875	1.099177625	1.2213565	1.140574375	1.463895	1.4911405	0.990826375	0.981519063	0.97221175	1.122772875
AHSA2	4.00082125	3.84102375	2.841005	2.91544125	2.16247625	2.070596375	2.3730975	3.27692875	3.66668625	3.87416125	3.36377	3.47239125	2.5217925	3.1386425
SYNJ2	1.437188375	1.4491105	1.30371475	1.134946875	1.037372875	1.073508375	1.109643875	1.3068735	1.08259325	1.14891375	1.11888575	1.08885775	0.75271925	1.041250125
LENG8	6.16996625	9.00407125	5.93738375	6.59265875	3.26996375	4.44037375	4.343395	5.74698875	6.4737825	7.55211	5.5963625	5.47825875	6.37548375	5.98921125
DNM3	0.5173915	0.95696875	0.66728275	0.569692375	0.547342063	0.52499175	0.66024075	0.79548975	0.806128875	0.586397125	0.419859375	0.566261375	0.2969435	0.482113125
RAD51AP1	3.20538875	2.636255	2.27013375	2.75406	1.8664175	1.89771875	2.5105775	3.3304925	3.78040125	2.9809075	2.81754375	2.4469225	2.0769625	2.9187675
DHFRP1	4.1091725	3.95613	3.10436625	3.3916175	2.27853625	2.17377875	3.2814725	4.35026125	4.4661325	3.185494875	3.34551375	4.47514125	2.77991625	3.6947825
APOO	4.9554075	5.243935	3.65164125	3.5600525	3.31022125	2.8733625	3.20044	4.59828375	5.5946675	4.71869125	3.842715	3.75222625	3.1514475	4.43550625
PDDC1	4.4783	4.80548375	3.59701125	3.473935	2.06332	2.26933	3.51431625	3.88304375	4.14917625	3.84521375	3.60396125	3.1119425	4.45705875	4.3669125
SIDT2	2.07309375	2.11534975	1.912481875	1.57233475	1.009138125	1.47992475	1.358615625	2.1390075	2.000437188	1.861866875	1.25694525	1.8063715	1.7404175	1.87250975
MAP2K6	1.686799	1.37239625	0.938345125	0.7910395	0.643733875	0.86246125	1.13483725	1.536043875	1.711004	1.64097375	0.791238375	1.362076375	1.521255625	1.531105875
DDX12P	1.1885415	1.12227625	1.011834125	0.950135375	0.592317875	0.621808	0.836947125	1.348076875	1.2237025	0.992890125	0.985002375	1.0510745	0.897929875	1.175178125
PIK3R3	4.62065	3.08943875	2.8503475	1.723525375	2.4703825	2.41767725	3.32763375	3.373135	4.5458125	4.000535	3.44777625	2.11529375	3.46987375	3.61584625
RBL1	0.7603605	0.91834775	0.92141375	0.775655625	0.703076375	0.58804425	0.490361375	0.71282575	1.176645	0.99032975	0.8040145	0.674852375	0.54569025	0.691961625
STAG3L3	4.8933225	4.4344625	4.66449375	3.9374275	2.97712125	3.03351375	4.282065	4.5582825	5.2844425	5.20378875	4.28240375	4.6306975	4.24330875	4.1930425
ZXDC	0.744985875	0.623749625	0.5895935	0.352149788	0.390691875	0.488256625	0.47696175	0.606661625	0.585132875	0.531896875	0.577121875	0.391305125	0.434452125	0.577941625
TRAPPC9	5.1001025	4.59976125	3.989085	2.85069125	2.56112875	2.9435275	2.292666625	3.08230125	4.25036875	5.29702375	2.75018625	3.379589375	3.94678	3.8840975
ACAP3	7.1396375	6.04708125	4.95274375	4.148795	4.23693875	3.78138125	3.01038625	4.53431375	5.54951	5.30737625	6.0975875	4.1880375	3.63045	5.15501375
PAX6	1.44639975	1.0612915	1.14471575	1.3976915	0.767645375	0.899115625	1.377802813	1.85649	2.20137	1.91784125	1.6322075	1.65351375	0.9198535	1.032284625
COL9A3	3.6702775	2.35923625	2.27924	1.350638875	1.415121375	1.45449425	2.0017725	2.68862625	2.61130625	3.1704725	2.37864125	2.46971375	2.53196625	2.63130125
ANKRD36	0.490238375	0.365664125	0.38508225	0.305275963	0.225469675	0.223909975	0.42462425	0.335571875	0.4701245	0.409533375	0.311717875	0.410466875	0.264907125	0.429822875
MAN2C1	6.13431125	7.68127125	5.16686625	5.0916575	3.6797625	3.2664875	2.77386375	4.56428625	4.9748975	6.772125	5.542055	5.48429125	4.53360125	5.0090775
NSUN5P2	3.0149225	2.34931375	2.63275	2.19804125	1.226344375	1.628056875	2.20287625	2.72048625	2.04435875	2.11758375	1.89454	1.70804375	2.28493875	2.66499125
IGSF8	1.467163625	1.200825875	0.73713725	0.81063875	0.457475125	0.432149875	0.84768	0.77567175	0.597846375	0.717503875	0.579800875	0.61181725	0.62812875	0.933327375
PDE10A	0.510094	0.51333225	0.5480465	0.410650875	0.46781925	0.42858925	0.463849625	0.546181	0.5064765	0.437658375	0.42029	0.286469013	0.32713275	0.438164625
C20orf111	1.76556	1.3947475	1.292053125	1.2612935	0.8758145	0.84817325	0.803273625	1.187090125	1.3535725	1.454358375	1.208266625	1.26341025	0.939153375	1.223918375
DUSP22	0.7155095	0.7780545	0.712724625	0.74085125	0.3566855	0.458331375	0.571335688	0.68434	0.5922835	0.577185375	0.56208725	0.568309625	0.606921875	0.586802875
GINS1	0.912565875	0.83795625	0.7811255	0.663545375	0.615810875	0.740269938	0.864729	0.849335125	1.096282	0.8350085	0.926387125	0.672728063	0.419069	1.04893325
RP11-218E20.3	0.240097375	0.1578743	0.164831375	0.15222465	0.117233413	0.147826713	0.186091613	0.215984125	0.23561575	0.206182788	0.1581337	0.164472625	0.204869375	0.2164355
RP11-357C3.3	2.48505875	2.8479325	2.298322625	2.18911375	1.6956625	2.032594125	1.373939375	2.43280375	2.0691975	2.785665125	1.709554875	1.729570563	1.74958625	1.81331825
TBC1D7	1.55735875	1.34359125	1.1357865	1.2726855	0.900571875	0.671237125	1.04492775	1.083618125	1.261184625	1.48713925	1.164882875	1.254402625	1.197355875	1.253244625
PHF1	1.30158875	1.8059575	1.1100835	1.358752375	1.095892125	0.720283375	1.223247375	1.604177625	1.60642575	1.2778965	1.595512125	0.895970875	1.289145375	1.23396
CCDC14	2.78198875	2.194231375	2.21384125	2.21679125	2.4038815	1.635017375	2.07497875	2.48182125	2.8104575	2.882815	2.68730375	2.41325125	1.485253625	2.39153125
ARID5B	0.530221875	0.929687875	0.684790625	0.438497625	0.359103375	0.4498915	0.56450975	0.500098125	0.720930875	0.62123475	0.5313305	0.6062895	0.428152125	0.494370125
SPOCD1	0.918614125	0.94573	0.765786625	0.972172	0.7972795	0.750541875	0.967985	1.197699375	1.201523375	1.16967175	0.995683063	0.821694375	0.594155	0.611580875
FAM156B	2.51779125	2.4175725	1.54140125	1.366458688	1.191516125	1.177438125	1.63486625	1.79337875	1.7157525	1.969985	1.568278875	1.45220825	1.444795	1.8928425
ITGB8	0.191410375	0.361022775	0.196619625	0.295855625	0.125961125	0.156408363	0.1868556	0.239488638	0.368156	0.246653663	0.164702938	0.179198688	0.185673113	0.32186025
RP11-27I1.2	1.55175925	1.434504625	1.31725	0.682035375	1.12208375	0.869847375	1.1424065	0.96062175	1.10628325	1.82743625	1.247067375	1.111935938	0.9768045	0.95885475
RP11-30J20.1	3.92941625	3.11896125	3.457525	2.8013405	2.145156	2.124400625	3.3041275	4.0176	3.78908	1.698061375	2.99227625	2.724803313	2.457330375	2.4449775
DENND3	1.507753875	1.359373438	1.210993	0.937771375	0.664678625	0.654585875	0.888659875	1.2122915	0.867592875	1.277474125	0.674747875	1.3665955	0.748502125	0.979747563
FAM129A	0.4811545	0.359190625	0.31312075	0.465051375	0.2330345	0.26271575	0.28179025	0.3887225	0.364052375	0.3739005	0.24556875	0.31202275	0.1906725	0.251896625
H1F0	0.21732525	0.718917375	0.656765375	0.548499625	0.366262875	0.33405825	0.312409375	1.132266375	1.4192	1.005908125	0.810067	0.68583325	0.4460385	0.642116875
POLA2	8.2530875	6.289025	5.147755	4.22382375	4.9181825	3.71904875	5.59614	7.64177375	6.217605	5.07100125	4.6194325	4.90634875	4.4950475	6.61646625
EXOC1	1.61240725	1.211097	0.728067625	0.913590375	1.099113125	0.576701125	0.947746	1.591580875	1.43443225	1.3322885	1.143979625	1.445704	0.785153	0.808907
TRMT2B	1.461800625	1.46513275	1.25231025	1.04647925	1.055985125	1.011197125	0.94846825	1.055705875	1.14495	1.17104125	1.022840125	0.949392125	0.75444825	0.885627375
MZF1	1.042814625	1.0411705	1.065911	0.774992625	0.41301575	0.508446625	0.693437875	1.07221425	1.093617125	1.1037535	0.953936	0.968473125	0.896276	1.126394375
NECAB3	4.7822575	5.3173475	3.92170875	3.3055025	2.61058625	3.07113125	3.8940375	4.56380875	3.633935	3.574515	3.25095375	2.5570325	3.69889625	3.84464125
LDOC1	3.3359	3.2544975	2.94961125	2.593495	1.939505	2.5806575	2.51213125	3.305885	2.9072175	3.2695625	2.913255	2.57216125	3.23561875	3.477125
WDR90	6.758295	7.651035	6.13307	4.93870375	5.44577	5.15247625	3.61926625	6.94766125	5.293845	6.53735875	5.60080375	4.26291	5.18183	7.01479125
GCC2	1.9675325	1.604866875	1.45328475	1.50999475	1.08637475	1.061169125	1.81916525	1.294989375	2.035686625	1.801679188	1.56767175	1.23428775	1.12621175	1.387211875
HAGH	2.69958625	2.4995575	2.473855688	2.448153875	1.3753465	1.776549625	1.99974125	2.3773175	2.2265275	3.0900325	2.617155	2.20130375	2.7534025	2.30321125
RNF130	2.26661625	1.46434225	1.28729675	1.34185075	1.06147	1.3172735	1.279204625	1.24113575	1.9863	1.285744625	1.123356625	0.99424225	0.865127875	1.708231625
